alphas1_c,alphas2_c,alpha_c,anisotropy_c,c11_c,c13_phase_c,c22_c,c33_c,entropy_c,l1_c,l2_c,l3_c,phis1_c,phis2_c,ro12_amplitude_c,span_c,taum1_c,taum2_c,taum3_c,yamaguchi4_dbl_c,yamaguchi4_hlx_c,yamaguchi4_odd_c,yamaguchi4_vol_c,Class
9.5921,75.036,34.1945,0.1666,0.1093,-21.1048,0.0372,0.1311,0.7772,0.1932,0.0547,0.0391,-41.8288,38.0238,0.2364,0.2776,-2.3466,23.7729,-41.4855,0.0046,0.0076,0.1126,0.1621,Winter_Wheat
10.1569,74.98,33.0671,0.1288,0.0931,0,0.0454,0.1499,0.763,0.2263,0.0586,0.0452,-32.9755,14.2931,0.2526,0.2884,-0.8147,29.3039,-32.2418,0.0052,0.0301,0.1578,0.137,Winter_Wheat
9.0147,65.8826,33.1857,0.175,0.1312,-14.3646,0.0371,0.1939,0.7723,0.1968,0.0552,0.0388,-40.4238,20.4741,0.2214,0.3622,0.5716,37.3815,-36.3289,0.0046,0.0066,0.1156,0.1639,Winter_Wheat
12.2009,76.3416,34.9937,0.1374,0.1293,-20.2657,0.0355,0.2456,0.7753,0.2297,0.0627,0.0475,-18.0827,14.4454,0.2781,0.4104,-1.4539,13.4496,-35.6839,0.0135,0.0341,0.1663,0.1259,Winter_Wheat
8.8046,81.7496,32.7671,0.4107,0.1322,-57.3131,0.0249,0.1441,0.7392,0.2193,0.0707,0.0295,-38.697,61.1225,0.1744,0.3012,2.4143,-3.7498,5.6129,0.0391,0.0154,0.1696,0.0954,Winter_Wheat
10.0443,79.9556,33.2443,0.3385,0.1116,5.1944,0.0149,0.1885,0.7534,0.2321,0.0725,0.0359,-42.0872,49.1327,0.2016,0.315,1.2264,-10.2236,17.1132,0.0354,0.0157,0.1726,0.1168,Winter_Wheat
9.2397,80.6672,32.666,0.1795,0.1351,-8.1301,0.0564,0.1855,0.7602,0.2373,0.0641,0.0446,-7.7492,3.9991,0.2034,0.377,-0.7231,9.2443,24.4992,0.0185,0.0228,0.1685,0.1362,Winter_Wheat
9.1477,82.5735,33.0187,0.178,0.1141,22.4794,0.0744,0.1265,0.7667,0.2363,0.0652,0.0455,-32.0823,35.5646,0.1513,0.315,0.6221,21.9329,-15.3032,0.0164,0.0395,0.176,0.1153,Winter_Wheat
9.323,74.4914,33.8824,0.2285,0.146,-9.7824,0.0399,0.131,0.7725,0.1958,0.0582,0.0365,-41.7606,54.4226,0.1929,0.3169,2.0926,31.2645,-23.4117,0.0179,0.0219,0.1379,0.1128,Winter_Wheat
8.2904,79.3309,30.7583,0.3751,0.1721,-27.451,0.0265,0.0938,0.7217,0.2347,0.0682,0.031,-70.4472,73.4728,0.1556,0.2923,0.521,-24.4422,28.2554,0.0364,0.0601,0.2281,0.0093,Winter_Wheat
6.2133,80.0993,32.5949,0.2743,0.1084,-1.8476,0.033,0.1579,0.7769,0.2172,0.0689,0.0392,-67.3562,68.0654,0.1203,0.2992,0.5742,27.2654,30.5589,0.0293,0.0274,0.1647,0.104,Winter_Wheat
6.3837,70.3164,33.0421,0.2106,0.1816,3.3339,0.0653,0.1783,0.7878,0.2239,0.069,0.045,-21.0028,7.3962,0.1129,0.4252,-0.2474,36.6738,40.0583,0.0176,0.0181,0.1444,0.1578,Winter_Wheat
9.3225,47.301,37.6189,0.2593,0.1434,-5.1479,0.0518,0.1602,0.8207,0.2155,0.0793,0.0467,-15.0929,74.7733,0.0853,0.3553,2.1783,42.6443,18.1839,0.0271,0.0257,0.1336,0.1551,Winter_Wheat
7.5717,50.7148,37.1241,0.3543,0.1395,-50.6673,0.0312,0.1029,0.806,0.188,0.0731,0.0348,-19.7142,76.8982,0.1529,0.2736,4.2472,38.6504,-16.8058,0.0348,0.0097,0.1197,0.1317,Winter_Wheat
9.637,13.2523,35.8062,0.2776,0.169,-7.6668,0.0408,0.1603,0.7824,0.2337,0.0759,0.0429,33.0456,67.6883,0.1294,0.3701,-3.8711,41.5133,11.9837,0.0225,0.0901,0.2136,0.0263,Winter_Wheat
8.8067,53.8958,34.7271,0.2878,0.193,6.7662,0.0547,0.1608,0.7694,0.2281,0.0714,0.0395,43.7024,75.7889,0.1213,0.4085,-4.018,37.9413,-27.1334,0.0463,0,0.1749,0.0943,Winter_Wheat
